data_sinal,asof,sistema,ticker,name,exchange,yahoo_symbol,situacao,status,acao,entrada,entrada_regra,stop,stop_regra,extensao_pct,gap_pct,open_price,prev_close,day_high,day_low,day_close,volume,fech_d0,market_cap,market_cap_musd,market_cap_filter,borrow_status,borrow_filter,gapcrap_version,gapcrap_min_gap_pct,gapcrap_rule,gapcrap_filters,gapcrap_signal_timing,scan_source,scan_status,scan_checked_at,short_stop_rule_pct,short_stop_rule,short_stop_rule_status,obs,qtd_estim,day2fade_version,day2fade_signal_timing,day2fade_min_trigger_pct,day2fade_min_price,day2fade_min_adv_musd,day2fade_market_cap_filter,day2fade_market_cap_warning_musd,day2fade_max_earnings_age_days,day2fade_rule,day2fade_earnings_filter,earnings_status,earnings_filter
2026-07-14,2026-07-14,GapCrap,XAIR,Beyond Air Inc. Common Stock,NASDAQ,XAIR,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,1629.02,1629.02,7.2100,0.4170,7.2750,5.3000,5.7700,104204,5.77,107935551,107.94,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:14-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +1629% vs fechamento anterior 0.42; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,PSQH,PSQ Holdings Inc. Class A Common Stock,NASDAQ,PSQH,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,1064.22,1064.22,4.7500,0.4080,4.7500,3.4335,3.6400,227973,3.64,239868568,239.87,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:14-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +1064% vs fechamento anterior 0.41; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,BIYA,Baiya International Group Inc. Ordinary Shares,NASDAQ,BIYA,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,759.34,759.34,3.9100,0.4550,4.1970,3.2700,3.5000,103445,3.50,110667651,110.67,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:14-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +759% vs fechamento anterior 0.46; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,SPKLW,Spark I Acquisition Corp. Warrant,NASDAQ,SPKLW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,129.38,129.38,0.5051,0.2202,2.1500,1.8750,1.9700,26702,1.97,0,0.00,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:15-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +129% vs fechamento anterior 0.22; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,NXTC,NextCure Inc. Common Stock,NASDAQ,NXTC,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,324.54,324.54,9.2550,2.1800,9.9000,5.7600,6.5800,111521075,6.58,7874369,7.87,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:15-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +325% vs fechamento anterior 2.18; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,NHICW,NewHold Investment Corp III Warrants,NASDAQ,NHICW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,441.67,441.67,1.9500,0.3600,1.9900,1.9250,1.9500,25230,1.95,0,0.00,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:16-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +442% vs fechamento anterior 0.36; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,DAVEW,Dave Inc. Warrants,NASDAQ,DAVEW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,133.01,133.01,1.4300,0.6137,3.2500,2.7100,3.2200,175995,3.22,35364896,35.36,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:16-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +133% vs fechamento anterior 0.61; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,PCTTW,PureCycle Technologies Inc. Warrant,NASDAQ,PCTTW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,598.76,598.76,3.3890,0.4850,2.3700,1.9800,1.9800,9188,1.98,401435100,401.44,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:17-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +599% vs fechamento anterior 0.49; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,BCARW,D. Boral ARC Acquisition I Corp. Warrant,NASDAQ,BCARW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,157.41,157.41,1.8019,0.7000,1.8500,1.6500,1.6500,54478,1.65,0,0.00,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:18-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +157% vs fechamento anterior 0.70; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,LCFYW,Locafy Limited Warrant,NASDAQ,LCFYW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,110.91,110.91,5.8000,2.7500,7.0500,5.1100,5.1100,1387,5.11,12593385,12.59,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:19-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +111% vs fechamento anterior 2.75; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
2026-07-14,2026-07-14,GapCrap,TACOW,Berto Acquisition Corp. Warrant,NASDAQ,TACOW,skip_locate_unchecked,skip_locate_unchecked,BLOQUEADO,,nao operar,,,146.84,146.84,0.7400,0.2998,0.7449,0.7400,0.7400,6278,0.74,0,0.00,gapcrap_v2_no_market_cap_filter,checar,locate_required,v2,80,pass,gap>=80; borrow_required; no_price_volume_market_cap,same_day_open,yahoo_spark_chart,auto_detected,2026-07-14T22:02:19-03:00,50,entry_plus_50_pct,blocked_no_trade,GapCrap scan: abertura +147% vs fechamento anterior 0.30; checar aluguel/locate antes de executar real; GapCrap v2 skip: aluguel/locate nao checado,,,,,,,,,,,,,
